Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18
salifert-test-ammoniac-eau-douce,Salifert Test Ammoniac (Eau douce),,Salifert,,Test,Eau Douce,TRUE,Title,Default Title,0,shopify,4,deny,manual,13.99,'8714079150017,7.89
salifert-test-ph-eau-douce,Salifert Test pH (Eau douce),,Salifert,,Test,Eau Douce,TRUE,Title,Default Title,0,shopify,5,deny,manual,9.99,'8714079150086,5.26
hanna-checker-reagent-nitrate-hr,Hanna Checker Réagent Nitrate HR,,Hanna,,Test,Eau Salée,TRUE,Title,Default Title,0,shopify,2,deny,manual,24.99,BA000013693,18.99
hanna-checker-alcalinite,,,,,,,,,dKH HI772,200,shopify,1,deny,manual,69.99,BA000013695,48.95
hanna-checker-nitrate-hr,Hanna Checker Nitrate HR,,Hanna,,Test,Eau Salée,TRUE,Title,Default Title,200,shopify,1,deny,manual,69.99,BA000015464,48.95
membrane-rodi-100gpd,Membrane RODI,,AquaFX,,Osmoseur + Accessoires,"Eau Douce, Eau Salée",TRUE,Size,50 GPD,200,shopify,2,deny,manual,59.99,C210119331T090,24.18
hanna-checker-phosphate-lr,Hanna Checker Phosphate LR,,Hanna,,Test,Eau Salée,TRUE,Title,Default Title,200,shopify,1,deny,manual,69.99,HI713,48.95
hanna-checker-dkh-reagent,Hanna Checker Réagent Alcalinité,,Hanna,,Test,Eau Salée,TRUE,Style,CaCO3 HI755-26,0,shopify,1,deny,manual,16.99,HI755-26,11.95
Handle,Title,,Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Cost per item
aquario-neo-soil-plant-copy-1,Aquario Neo Soil Plant Brown,,Aquario,,Substrats,Eau Douce,TRUE,Size,3 L,0,shopify,7,deny,manual,27.99,,
aquario-neo-soil-plant-copy-1,,,,,,,,,8 L,0,shopify,3,deny,manual,63.99,,
aquario-neo-soil-plant-copy-1,,,,,,,,,,,,,,,,,
aquario-neo-soil-plant-copy-1,,,,,,,,,,,,,,,,,
aquario-neo-soil-plant-copy,Aquario Neo Soil Plant Powder,,Aquario,,Substrats,Eau Douce,TRUE,Size,3 L,0,shopify,8,deny,manual,33.99,,
